Project Name,Package Name,Type Name,Code Smell
json-schema,org.everit.json.schema,ArraySchema,Cyclic-Dependent Modularization
json-schema,org.everit.json.schema,ArraySchema,Insufficient Modularization
json-schema,org.everit.json.schema,Builder,Multifaceted Abstraction
json-schema,org.everit.json.schema,Builder,Cyclic-Dependent Modularization
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,Unutilized Abstraction
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,Broken Hierarchy
json-schema,org.everit.json.schema,BooleanSchema,Deficient Encapsulation
json-schema,org.everit.json.schema,BooleanSchema,Cyclic-Dependent Modularization
json-schema,org.everit.json.schema,Builder,Unutilized Abstraction
json-schema,org.everit.json.schema,CombinedSchema,Deficient Encapsulation
json-schema,org.everit.json.schema,CombinedSchema,Cyclic-Dependent Modularization
json-schema,org.everit.json.schema,CombinedSchema,Insufficient Modularization
json-schema,org.everit.json.schema,Builder,Unutilized Abstraction
json-schema,org.everit.json.schema,ConditionalSchema,Cyclic-Dependent Modularization
json-schema,org.everit.json.schema,Builder,Unutilized Abstraction
json-schema,org.everit.json.schema,ConditionalSchemaValidatingVisitor,Unutilized Abstraction
json-schema,org.everit.json.schema,ConstSchema,Cyclic-Dependent Modularization
json-schema,org.everit.json.schema,ConstSchemaBuilder,Cyclic-Dependent Modularization
json-schema,org.everit.json.schema,EmptySchema,Deficient Encapsulation
json-schema,org.everit.json.schema,EmptySchema,Cyclic-Dependent Modularization
json-schema,org.everit.json.schema,Builder,Unutilized Abstraction
json-schema,org.everit.json.schema,EnumSchema,Cyclic-Dependent Modularization
json-schema,org.everit.json.schema,Builder,Unutilized Abstraction
json-schema,org.everit.json.schema,FalseSchema,Deficient Encapsulation
json-schema,org.everit.json.schema,FalseSchema,Cyclic-Dependent Modularization
json-schema,org.everit.json.schema,Builder,Unutilized Abstraction
json-schema,org.everit.json.schema,InternalValidationException,Unutilized Abstraction
json-schema,org.everit.json.schema,InternalValidationException,Broken Hierarchy
json-schema,org.everit.json.schema,Builder,Unutilized Abstraction
