Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
json-schema,org.everit.json.schema,ArraySchema,addItemSchema,7,2,1
json-schema,org.everit.json.schema,ArraySchema,additionalItems,4,1,1
json-schema,org.everit.json.schema,ArraySchema,allItemSchema,4,1,1
json-schema,org.everit.json.schema,ArraySchema,build,3,1,0
json-schema,org.everit.json.schema,ArraySchema,maxItems,4,1,1
json-schema,org.everit.json.schema,ArraySchema,minItems,4,1,1
json-schema,org.everit.json.schema,ArraySchema,requiresArray,4,1,1
json-schema,org.everit.json.schema,ArraySchema,schemaOfAdditionalItems,4,1,1
json-schema,org.everit.json.schema,ArraySchema,uniqueItems,4,1,1
json-schema,org.everit.json.schema,ArraySchema,containsItemSchema,4,1,1
json-schema,org.everit.json.schema,ArraySchema,builder,3,1,0
json-schema,org.everit.json.schema,ArraySchema,ArraySchema,20,3,1
json-schema,org.everit.json.schema,ArraySchema,getAllItemSchema,3,1,0
json-schema,org.everit.json.schema,ArraySchema,getItemSchemas,3,1,0
json-schema,org.everit.json.schema,ArraySchema,getMaxItems,3,1,0
json-schema,org.everit.json.schema,ArraySchema,getMinItems,3,1,0
json-schema,org.everit.json.schema,ArraySchema,getSchemaOfAdditionalItems,3,1,0
json-schema,org.everit.json.schema,ArraySchema,getContainedItemSchema,3,1,0
json-schema,org.everit.json.schema,ArraySchema,needsUniqueItems,3,1,0
json-schema,org.everit.json.schema,ArraySchema,permitsAdditionalItems,3,1,0
json-schema,org.everit.json.schema,ArraySchema,requiresArray,3,1,0
json-schema,org.everit.json.schema,ArraySchema,equals,12,3,1
json-schema,org.everit.json.schema,ArraySchema,accept,3,1,1
json-schema,org.everit.json.schema,ArraySchema,definesProperty,12,1,1
json-schema,org.everit.json.schema,ArraySchema,tryPropertyDefinitionByMetaIndex,34,8,3
json-schema,org.everit.json.schema,ArraySchema,tryPropertyDefinitionByNumericIndex,23,7,3
json-schema,org.everit.json.schema,ArraySchema,canEqual,3,1,1
json-schema,org.everit.json.schema,ArraySchema,hashCode,3,1,0
json-schema,org.everit.json.schema,Builder,addItemSchema,7,2,1
json-schema,org.everit.json.schema,Builder,additionalItems,4,1,1
json-schema,org.everit.json.schema,Builder,allItemSchema,4,1,1
json-schema,org.everit.json.schema,Builder,build,3,1,0
json-schema,org.everit.json.schema,Builder,maxItems,4,1,1
json-schema,org.everit.json.schema,Builder,minItems,4,1,1
json-schema,org.everit.json.schema,Builder,requiresArray,4,1,1
json-schema,org.everit.json.schema,Builder,schemaOfAdditionalItems,4,1,1
json-schema,org.everit.json.schema,Builder,uniqueItems,4,1,1
json-schema,org.everit.json.schema,Builder,containsItemSchema,4,1,1
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,ArraySchemaValidatingVisitor,3,1,1
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,visitArraySchema,9,1,1
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,visitMinItems,5,2,1
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,visitMaxItems,5,2,1
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,visitUniqueItems,16,5,1
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,visitAllItemSchema,5,2,1
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,visitItemSchema,8,2,2
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,visitAdditionalItems,7,2,1
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,visitSchemaOfAdditionalItems,7,2,1
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,validateItemsAgainstSchema,3,1,2
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,validateItemsAgainstSchema,6,2,2
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,ifFails,3,1,2
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,visitContainedItemSchema,12,4,1
json-schema,org.everit.json.schema,BooleanSchema,build,3,1,0
json-schema,org.everit.json.schema,BooleanSchema,builder,3,1,0
json-schema,org.everit.json.schema,BooleanSchema,BooleanSchema,3,1,1
json-schema,org.everit.json.schema,BooleanSchema,equals,12,3,1
json-schema,org.everit.json.schema,BooleanSchema,accept,3,1,1
json-schema,org.everit.json.schema,BooleanSchema,canEqual,3,1,1
json-schema,org.everit.json.schema,Builder,build,3,1,0
json-schema,org.everit.json.schema,CollectingFailureReporter,CollectingFailureReporter,3,1,1
json-schema,org.everit.json.schema,CollectingFailureReporter,failure,3,1,1
json-schema,org.everit.json.schema,CollectingFailureReporter,validationFinished,3,1,0
json-schema,org.everit.json.schema,CollectingFailureReporter,inContextOfSchema,19,4,2
json-schema,org.everit.json.schema,CollectingFailureReporter,getState,3,1,0
json-schema,org.everit.json.schema,CollectingFailureReporter,isChanged,3,1,1
json-schema,org.everit.json.schema,CollectingFailureReporter,failureCount,3,1,0
json-schema,org.everit.json.schema,CombinedSchema,build,3,1,0
json-schema,org.everit.json.schema,CombinedSchema,criterion,4,1,1
json-schema,org.everit.json.schema,CombinedSchema,subschema,4,1,1
json-schema,org.everit.json.schema,CombinedSchema,subschemas,4,1,1
json-schema,org.everit.json.schema,CombinedSchema,isSynthetic,4,1,1
json-schema,org.everit.json.schema,CombinedSchema,validate,0,1,2
json-schema,org.everit.json.schema,CombinedSchema,validate,5,2,2
json-schema,org.everit.json.schema,CombinedSchema,toString,3,1,0
json-schema,org.everit.json.schema,CombinedSchema,validate,5,2,2
json-schema,org.everit.json.schema,CombinedSchema,toString,3,1,0
json-schema,org.everit.json.schema,CombinedSchema,validate,5,2,2
json-schema,org.everit.json.schema,CombinedSchema,toString,3,1,0
json-schema,org.everit.json.schema,CombinedSchema,allOf,3,1,1
json-schema,org.everit.json.schema,CombinedSchema,anyOf,3,1,1
json-schema,org.everit.json.schema,CombinedSchema,builder,3,1,0
json-schema,org.everit.json.schema,CombinedSchema,builder,3,1,1
json-schema,org.everit.json.schema,CombinedSchema,oneOf,3,1,1
json-schema,org.everit.json.schema,CombinedSchema,CombinedSchema,6,1,1
json-schema,org.everit.json.schema,CombinedSchema,compareBySchemaType,3,1,2
json-schema,org.everit.json.schema,CombinedSchema,sortByCombinedFirst,3,1,1
json-schema,org.everit.json.schema,CombinedSchema,getCriterion,3,1,0
json-schema,org.everit.json.schema,CombinedSchema,getSubschemas,3,1,0
json-schema,org.everit.json.schema,CombinedSchema,isSynthetic,3,1,0
json-schema,org.everit.json.schema,CombinedSchema,accept,3,1,1
json-schema,org.everit.json.schema,CombinedSchema,definesProperty,15,3,1
json-schema,org.everit.json.schema,CombinedSchema,equals,12,3,1
json-schema,org.everit.json.schema,CombinedSchema,hashCode,3,1,0
json-schema,org.everit.json.schema,CombinedSchema,canEqual,3,1,1
json-schema,org.everit.json.schema,Builder,build,3,1,0
json-schema,org.everit.json.schema,Builder,criterion,4,1,1
json-schema,org.everit.json.schema,Builder,subschema,4,1,1
json-schema,org.everit.json.schema,Builder,subschemas,4,1,1
json-schema,org.everit.json.schema,Builder,isSynthetic,4,1,1
json-schema,org.everit.json.schema,ValidationCriterion,validate,0,1,2
json-schema,org.everit.json.schema,ConditionalSchema,ifSchema,4,1,1
json-schema,org.everit.json.schema,ConditionalSchema,thenSchema,4,1,1
