Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
json-schema,org.everit.json.schema,ArraySchema,18,0,28,24,219,46,0,1,0.14285714285714285,11,4
json-schema,org.everit.json.schema,Builder,9,0,10,10,61,11,0,1,1.0,19,1
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,4,0,13,1,95,27,0,1,0.0,0,4
json-schema,org.everit.json.schema,BooleanSchema,1,1,6,4,38,8,0,1,0.8333333333333334,19,4
json-schema,org.everit.json.schema,Builder,0,0,1,1,8,1,0,1,-1.0,0,1
json-schema,org.everit.json.schema,CollectingFailureReporter,1,0,7,3,40,10,0,1,0.2857142857142857,1,2
json-schema,org.everit.json.schema,CombinedSchema,9,3,28,22,164,35,0,1,0.42857142857142855,17,5
json-schema,org.everit.json.schema,Builder,3,0,5,5,27,5,0,1,0.8,0,2
json-schema,org.everit.json.schema,ValidationCriterion,0,0,1,0,11,1,0,0,-1.0,2,0
json-schema,org.everit.json.schema,ConditionalSchema,6,0,10,9,52,10,0,1,0.4,12,3
json-schema,org.everit.json.schema,Builder,3,0,4,4,23,4,0,1,1.0,0,1
json-schema,org.everit.json.schema,ConditionalSchemaValidatingVisitor,4,0,7,0,60,14,0,1,0.0,0,5
json-schema,org.everit.json.schema,ConstSchema,2,0,6,4,26,6,0,1,0.6666666666666666,6,3
json-schema,org.everit.json.schema,ConstSchemaBuilder,1,0,2,2,10,2,0,1,1.0,1,1
json-schema,org.everit.json.schema,EarlyFailingFailureReporter,0,0,4,3,18,4,0,1,-1.0,1,2
json-schema,org.everit.json.schema,EmptySchema,1,1,7,5,39,9,2,1,0.8571428571428571,14,4
json-schema,org.everit.json.schema,Builder,0,0,1,1,8,1,0,1,-1.0,0,1
json-schema,org.everit.json.schema,EnumSchema,2,0,14,11,78,19,0,1,0.35714285714285715,7,5
json-schema,org.everit.json.schema,Builder,1,0,4,4,21,4,0,1,0.5,0,1
json-schema,org.everit.json.schema,FalseSchema,1,1,5,4,27,5,0,1,1.0,11,4
json-schema,org.everit.json.schema,Builder,0,0,1,1,5,1,0,1,-1.0,0,1
json-schema,org.everit.json.schema,FormatValidator,1,0,3,0,46,9,1,0,-1.0,11,1
json-schema,org.everit.json.schema,InternalValidationException,0,0,5,1,17,5,0,1,-1.0,0,1
json-schema,org.everit.json.schema,JSONPointer,3,0,13,9,190,28,0,0,0.15384615384615385,6,1
json-schema,org.everit.json.schema,Builder,1,0,3,3,34,4,0,0,0.0,0,0
json-schema,org.everit.json.schema,JSONPointerException,1,0,2,2,14,2,0,0,1.0,1,0
json-schema,org.everit.json.schema,NotSchema,2,0,9,7,50,11,0,1,0.4444444444444444,7,4
json-schema,org.everit.json.schema,Builder,1,0,2,2,13,2,0,1,1.0,0,1
